row,serial,title,market,serial_scope,languages_index,languages_detail,libretro_regions,review_reasons,source_urls
5,SLES-03137,007 - EL MUNDO NUNCA ES SUFICIENTE,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/0-9/SLES-03137.html
15,SLES-03120,"3,2,1... SMURF! - MY FIRST RACING GAME",Europe,disc,E|F|G|I|Du|S,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/0-9/SLES-03120.html
16,SLES-02089,360 - THREE SIXTY,Europe,disc,E|F|G|I|S|Sw,de|en|es|fr|it|sv,Europe,,https://psxdatacenter.com/games/P/0-9/SLES-02089.html
19,SLES-01941,40 WINKS - CON RUFF Y TUMBLE,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/0-9/SLES-01941.html
20,SLES-00095,4-4-2 SOCCER,Europe,disc,E|F|G|S,de|en|es|fr,Europe,,https://psxdatacenter.com/games/P/0-9/SLES-00095.html
21,SLES-02017,4X4 WORLD TROPHY,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/0-9/SLES-02017.html
23,SLES-03481,50x15 - ¿QUIERE SER MILLONARIO?,Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/0-9/SLES-03481.html
25,SCES-02153 SCES-12153,A SANGRE FRÍA - [ 2 DISCS ],Spain,disc,S,es,Spain,,https://psxdatacenter.com/games/P/A/SCES-02153.html
33,SCES-02066,ACE COMBAT 3 - ELECTROSPHERE,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/A/SCES-02066.html
35,SLES-01761,ACTION MAN - MISSION EXTREME,Europe,disc,E|F|G|I|S|Du|Sw|N|Fi|D,da|de|en|es|fi|fr|it|nl|sv,Europe,,https://psxdatacenter.com/games/P/A/SLES-01761.html
36,SLES-03083,ACTION MAN - DESTRUCTION X,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/A/SLES-03083.html
54,SLES-04108,ADIBOO & PAZIRAL'S SECRET,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/A/SLES-04108.html
56,SLES-00189,ADIDAS POWER SOCCER,Europe,disc,E|F|G|I|S,de|en|es|fr|it,Europe,,https://psxdatacenter.com/games/P/A/SLES-00189.html
57,SLES-00857,ADIDAS POWER SOCCER 2,Europe,disc,E|F|G|I|S|Du,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/A/SLES-00857.html
58,SLES-01239,ADIDAS POWER SOCCER '98,Europe,disc,E|F|G|I|S|Du,de|en|es|fr|it|nl,Europe,,https://psxdatacenter.com/games/P/A/SLES-01239.html
