game_id,title,old_region,new_region_family,new_market_region,region_code,serial,languages,classification_source,confidence,action,source_urls,review_reasons,url
ps2-hack-infection,.hack Infection,PAL España,PAL,Europe,EU,SLES-52237,de|en|es|fr|it,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-52237.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4509/",,/catalogo/hack-infection-ps2-pal-es
ps2-hack-mutation,.hack Mutation,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/hack-mutation-ps2-pal-es
ps2-hack-outbreak,.hack Outbreak,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/hack-outbreak-ps2-pal-es
ps2-hack-quarantine,.hack Quarantine,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/hack-quarantine-ps2-pal-es
ps2-007-agent-under-fire,007 Agent Under Fire,PAL España,PAL,Europe,EU,SLES-50539,de|en|es|fr|it|nl,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-50539.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4602/",,/catalogo/007-agent-under-fire-ps2-pal-es
ps2-007-agent-under-fire-platinum,007 Agent Under Fire [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-agent-under-fire-platinum-ps2-pal-es
ps2-007-everything-or-nothing,007 Everything or Nothing,PAL España,PAL,Europe,EU,SLES-52005,en|es|it|nl|sv,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-52005.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4433/",,/catalogo/007-everything-or-nothing-ps2-pal-es
ps2-007-everything-or-nothing-platinum,007 Everything or Nothing [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-everything-or-nothing-platinum-ps2-pal-es
ps2-007-from-russia-with-love,007 From Russia With Love,PAL España,PAL,Europe,EU,SLES-53553,de|en|es|fr|it|nl|sv,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-53553.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4611/",,/catalogo/007-from-russia-with-love-ps2-pal-es
ps2-007-from-russia-with-love-not-for-resale,007 From Russia With Love [Not For Resale],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-from-russia-with-love-not-for-resale-ps2-pal-es
ps2-007-from-russia-with-love-platinum,007 From Russia With Love [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-from-russia-with-love-platinum-ps2-pal-es
ps2-007-nightfire,007 Nightfire,PAL España,PAL,Europe,EU,SLES-51258,en|fr|it|nl|sv,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-51258.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4486/",,/catalogo/007-nightfire-ps2-pal-es
ps2-007-nightfire-platinum,007 Nightfire [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-nightfire-platinum-ps2-pal-es
ps2-007-quantum-of-solace,007 Quantum of Solace,PAL España,PAL,"Europe, Australia",EU-AU,SLES-55345,de|en|es|fr|it,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-55345.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/11511/",,/catalogo/007-quantum-of-solace-ps2-pal-es
ps2-007-quantum-of-solace-platinum,007 Quantum of Solace [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/007-quantum-of-solace-platinum-ps2-pal-es
ps2-10-pin-champions-alley,10 Pin: Champions Alley,PAL España,PAL,Europe,EU,SLES-53150,de|en|es|fr|it|nl,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/plist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4377/",,/catalogo/10-pin-champions-alley-ps2-pal-es
ps2-10000-bullets,10.000 Bullets,PAL España,PAL,Europe,EU,SLES-53481,de|en|es|fr|it,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-53481.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4312/",,/catalogo/10000-bullets-ps2-pal-es
ps2-18-wheeler-american-pro-trucker,18 Wheeler American Pro Trucker,PAL España,PAL,Europe,EU,SLES-50214,de|en|es|fr,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-50214.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4246/",,/catalogo/18-wheeler-american-pro-trucker-ps2-pal-es
ps2-187-ride-or-die,187 Ride or Die,PAL España,PAL,"Europe, Australia",EU-AU,SLES-52276,de|en|es|fr|it,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-52276.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4139/",,/catalogo/187-ride-or-die-ps2-pal-es
ps2-1945-i-&amp;-ii-the-arcade-games,1945 I & II: The Arcade Games,PAL España,PAL,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/1945-i-ii-the-arcade-games-ps2-pal-es
ps2-2002-fifa-world-cup,2002 FIFA World Cup,PAL España,PAL,,,,,review,unresolved,REVIEW,,legacy_row_does_not_identify_a_single_regional_release,/catalogo/2002-fifa-world-cup-ps2-pal-es
ps2-21-card-games,21 Card Games,PAL España,PAL,"Europe, Australia",EU-AU,SLES-53357,en,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/plist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4584/",,/catalogo/21-card-games-ps2-pal-es
ps2-24-the-game,24 the Game,PAL España,PAL,"Europe, Australia",EU-AU,SCES-53358,de|en|es|fr|it|nl|pl,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SCES-53358.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4124/|https://redump.info/disc/951/",,/catalogo/24-the-game-ps2-pal-es
ps2-24-the-game-platinum,24 the Game [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/24-the-game-platinum-ps2-pal-es
ps2-24-the-game-steelbook-edition,24 The Game [Steelbook Edition],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/24-the-game-steelbook-edition-ps2-pal-es
ps2-24-the-game-press-kit,24: The Game [Press Kit],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/24-the-game-press-kit-ps2-pal-es
ps2-24-the-game-promo-not-for-resale,24: The Game [Promo Not For Resale],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/24-the-game-promo-not-for-resale-ps2-pal-es
ps2-25-to-life,25 to Life,PAL España,PAL,Europe,EU,SLES-53199,en,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-53199.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4150/",,/catalogo/25-to-life-ps2-pal-es
ps2-32mb-ps2-memory-card,32MB PS2 Memory Card,PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/32mb-ps2-memory-card-ps2-pal-es
ps2-4x4-evo,4x4 Evo,PAL España,PAL,,,,,review,unresolved,REVIEW,,catalog_serial_conflicts_with_title_or_edition,/catalogo/4x4-evo-ps2-pal-es
ps2-4x4-evo-2,4x4 Evo 2,PAL España,PAL,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|source_title_and_redump_serial_title_disagree,/catalogo/4x4-evo-2-ps2-pal-es
ps2-50-cent-bulletproof,50 Cent Bulletproof,PAL España,PAL,Europe,EU,SLES-53734,en,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-53734.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/1826/",,/catalogo/50-cent-bulletproof-ps2-pal-es
ps2-50-cent-bulletproof-limited-edition,50 Cent Bulletproof [Limited Edition],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/50-cent-bulletproof-limited-edition-ps2-pal-es
ps2-50-cent-bulletproof-platinum,50 Cent Bulletproof [Platinum],PAL España,PAL,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/50-cent-bulletproof-platinum-ps2-pal-es
ps2-7-blades,7 Blades,PAL España,PAL,Europe,EU,SLES-50109,de|en|fr|ja,redump-org,high,MOVED,"https://psxdatacenter.com/psx2/games2/SLES-50109.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4215/",,/catalogo/7-blades-ps2-pal-es
