catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail
ps4-airport-simulator-2019,Airport Simulator 2019,PAL España,standard,airport simulator 2019,airport simulator 2019,GAME_OR_UNKNOWN,DEVELOPER,developer,Toplitz Productions,toplitz-productions,Toplitz Productions,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK_OR_PS4_RELEASE,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_PS4_RELEASE,https://store.playstation.com/es-es/product/EP3550-CUSA12902_00-AIRPORTSIMPS4EU0 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),Developed by Toplitz Productions | La lista específica de PS4 atribuye el desarrollo a esta compañía.,No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-ben-10,Ben 10,PAL España,standard,ben 10,ben 10,GAME_OR_UNKNOWN,DEVELOPER,developer,Torus Games,torus-games,Torus Games Pty Ltd | Torus Games,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIDATA,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM | C_DISCOVERY,https://store.playstation.com/es-es/product/EP3678-CUSA09538_00-BEN1000000000000 | https://store.steampowered.com/app/703180 | https://www.wikidata.org/wiki/Q63183228 | https://gamesdb.launchbox-app.com/games/details/441353,"Developed by Torus Games Pty Ltd | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-big-bobby-car-the-big-race,Big Bobby Car The Big Race,PAL España,standard,big bobby car the big race,big bobby car the big race,GAME_OR_UNKNOWN,DEVELOPER,developer,Independent Arts Software GmbH,independent-arts-software,Independent Arts Software GmbH,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM,https://store.playstation.com/es-es/product/EP8218-CUSA20568_00-BOBBYCARGAME01EU | https://store.steampowered.com/app/1374700,"Developed by Independent Arts Software GmbH 2020 Wild River Games GmbH | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-candle-the-power-of-the-flame,Candle: The Power of the Flame,PAL España,standard,candle the power of the flame,candle the power of the flame,GAME_OR_UNKNOWN,DEVELOPER,developer,Teku Studios,teku-studios,Teku Studios,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK_OR_PS4_RELEASE,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_PS4_RELEASE,https://store.playstation.com/es-es/product/EP1121-CUSA12065_00-CANDLE0000000001 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),"developed by Teku Studios, published by Merge Games Ltd | La lista específica de PS4 atribuye el desarrollo a esta compañía.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-chicken-range,Chicken Range,PAL España,standard,chicken range,chicken range,GAME_OR_UNKNOWN,DEVELOPER,developer,NYX Digital,nyx-digital,NYX DIGITAL LTD,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT,1,PLAYSTATION_STORE_EXPLICIT_CREDIT,A_OFFICIAL_EXACT_PRODUCT_CREDIT,https://store.playstation.com/es-es/product/EP4358-CUSA11931_00-CHICKENRANGE0000,Developed by NYX DIGITAL LTD,No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-crazy-machines-vr,Crazy Machines VR,PAL España,standard,crazy machines vr,crazy machines vr,GAME_OR_UNKNOWN,DEVELOPER,developer,FAKT Software,fakt-software,FAKT Software GmbH | Fakt Software,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM | C_DISCOVERY,https://store.playstation.com/es-es/product/EP0841-CUSA13142_00-YDH2K8LVCNBMVT2Y | https://store.steampowered.com/app/802690 | https://gamesdb.launchbox-app.com/games/details/447379,"Developed by FAKT Software GmbH | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-dead-synchronicity-tomorrow-comes-today,Dead Synchronicity Tomorrow Comes Today,PAL España,standard,dead synchronicity tomorrow comes today,dead synchronicity tomorrow comes today,GAME_OR_UNKNOWN,DEVELOPER,developer,Fictiorama Studios,fictiorama-studios,Fictiorama studios | Fictiorama Studios,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP1160-CUSA05345_00-DEADSYNCHRONICIT | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/339190 | https://gamesdb.launchbox-app.com/games/details/192929,"Developed by Fictiorama studios | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-destiny-2,Destiny 2,PAL España,standard,destiny 2,destiny 2,GAME_OR_UNKNOWN,DEVELOPER,developer,Bungie,bungie,Bungie,EXACT_NAME_OR_ALIAS,Wolf Team,REPLACE_OR_ADD_VERIFIED,VERY_HIGH,YES,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,6,ACTIVISION_OFFICIAL_PRESS_RELEASE | LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_PRIMARY_EXACT | B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://www.pricecharting.com/game/pal-playstation-4/destiny-2 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1085660 | https://www.wikidata.org/wiki/Q29045915 | https://gamesdb.launchbox-app.com/games/details/171656,"Activision identifica a Bungie como estudio de desarrollo de Destiny 2 y describe el lanzamiento de PS4 del 6 de septiembre de 2017. | La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-destiny-2,Destiny 2,PAL España,standard,destiny 2,destiny 2,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Activision,activision,Activision,EXACT_NAME_OR_ALIAS,Namco,REPLACE_OR_ADD_VERIFIED,VERY_HIGH,YES,EXACT_PHYSICAL_EDITION | PAL_RELEASE | PS4_PAL_PRODUCT_LINE,3,ACTIVISION_OFFICIAL_PRESS_RELEASE | PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,A_PRIMARY_EXACT | B_EXACT_PHYSICAL | B_PAL_RELEASE,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://www.pricecharting.com/game/pal-playstation-4/destiny-2 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La nota oficial declara expresamente que Destiny 2 fue publicado y distribuido por Activision y enumera las ediciones Limited y Collector's. | La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.
ps4-destiny-2-collector%27s-edition,Destiny 2 [Collector's Edition],PAL España,standard,destiny 2,destiny 2,EDITION_VARIANT,DEVELOPER,developer,Bungie,bungie,Bungie,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,ACTIVISION_OFFICIAL_PRESS_RELEASE | LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_PRIMARY_EXACT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1085660 | https://www.wikidata.org/wiki/Q29045915 | https://gamesdb.launchbox-app.com/games/details/171656,"Activision identifica a Bungie como estudio de desarrollo de Destiny 2 y describe el lanzamiento de PS4 del 6 de septiembre de 2017. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
