catalog_id,title,platform,region,role,current_company_slug,current_company_name,proposed_company_slug,proposed_company_name,action,confidence,evidence_summary,source_1,source_2,publication_gate
ds-007-quantum-of-solace,007 Quantum of Solace,ds,PAL_ES,developer,,,vicarious-visions,Vicarious Visions,ADD_MISSING,VERY_HIGH,Official platform mapping assigns the DS version to Vicarious Visions.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ds-007-quantum-of-solace,007 Quantum of Solace,ds,PAL_ES,publisher,,,activision,Activision,ADD_MISSING,VERY_HIGH,Activision announced the European and North American retail launch.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps2-007-quantum-of-solace,007 Quantum of Solace,ps2,PAL_ES,developer,eurocom,Eurocom,eurocom,Eurocom,RETAIN,VERY_HIGH,Official platform mapping assigns the PS2 version to Eurocom.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps2-007-quantum-of-solace,007 Quantum of Solace,ps2,PAL_ES,publisher,square-enix,Square Enix,activision,Activision,REPLACE,VERY_HIGH,Square Enix's role was Japan-specific; the PAL row must not inherit it.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,https://www.jp.square-enix.com/company/en/news/2009/,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps2-usa-007-quantum-of-solace,007 Quantum of Solace,ps2,USA,developer,eurocom,Eurocom,eurocom,Eurocom,RETAIN,VERY_HIGH,Official platform mapping assigns the PS2 version to Eurocom.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps2-usa-007-quantum-of-solace,007 Quantum of Solace,ps2,USA,publisher,,,activision,Activision,ADD_MISSING,VERY_HIGH,Activision announced the North American retail launch.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-007-quantum-of-solace,007 Quantum of Solace,ps3,PAL_ES,developer,eurocom,Eurocom,treyarch,Treyarch,REPLACE,VERY_HIGH,"Official platform mapping assigns the PS3 version to Treyarch, not Eurocom.",https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-007-quantum-of-solace,007 Quantum of Solace,ps3,PAL_ES,publisher,square-enix,Square Enix,activision,Activision,REPLACE,VERY_HIGH,Square Enix published the Japanese release only; this is a PAL row.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,https://www.jp.square-enix.com/company/en/news/2009/,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-007-quantum-of-solace,007 Quantum of Solace,ps3,USA,developer,eurocom,Eurocom,treyarch,Treyarch,REPLACE,VERY_HIGH,Official platform mapping assigns the PS3 version to Treyarch.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-007-quantum-of-solace,007 Quantum of Solace,ps3,USA,publisher,,,activision,Activision,ADD_MISSING,VERY_HIGH,Activision announced the North American retail launch.,https://investor.activision.com/news-releases/news-release-details/mi6-confirms-activisions-007-status-quantum-solacetm-video-game,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps3,PAL_ES,developer,high-moon,High Moon,high-moon,High Moon Studios,RETAIN,HIGH,PS3 is the prior-generation port; retain High Moon only for PS3/Xbox 360 after exact-credit confirmation.,https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,,MANUAL_REVIEW_REQUIRED
