slug,company_name,source_filename,source_page_url,image_source_url,source_license,source_license_url,source_credit,source_artist
sega,Sega,SEGA logo JPN.svg,https://commons.wikimedia.org/wiki/File:SEGA_logo_JPN.svg,https://upload.wikimedia.org/wikipedia/commons/c/c7/SEGA_logo_JPN.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work based on: SEGA logo.svg,Sega
nintendo,Nintendo,Nintendo.svg,https://commons.wikimedia.org/wiki/File:Nintendo.svg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Nintendo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Transferred from en.wikipedia to Commons by JamesR .,Nintendo
electronic-arts,Electronic Arts,Electronic Arts historical logo 80s.svg,https://commons.wikimedia.org/wiki/File:Electronic_Arts_historical_logo_80s.svg,https://upload.wikimedia.org/wikipedia/commons/2/23/Electronic_Arts_historical_logo_80s.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Electronic Arts,Electronic Arts
capcom,Capcom,Capcom logo.svg,https://commons.wikimedia.org/wiki/File:Capcom_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Capcom_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work,Nessa los
konami,Konami,Konami 4th logo 1.svg,https://commons.wikimedia.org/wiki/File:Konami_4th_logo_1.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Konami_4th_logo_1.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Wordmark of KONAMI , Trademarked by KONAMI CORPORATION.",KONAMI CORPORATION
limited-run-games,Limited Run Games,Limited Run Games logo black.svg,https://commons.wikimedia.org/wiki/File:Limited_Run_Games_logo_black.svg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Limited_Run_Games_logo_black.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://www.fangamer.com/collections,Limited Run Games
snk,SNK Corporation,SNK logo.svg,https://commons.wikimedia.org/wiki/File:SNK_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/fd/SNK_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://www.snk-corp.co.jp/,SNK
ubisoft,Ubisoft,Ubisoft logo.svg,https://commons.wikimedia.org/wiki/File:Ubisoft_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Ubisoft_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://vignette.wikia.nocookie.net/logopedia/images/a/a0/Ubisoft_2017.svg/revision/latest?cb=20170622035823,Ubisoft
activision,Activision,Activision.svg,https://commons.wikimedia.org/wiki/File:Activision.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Activision.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Transferred from en.wikipedia to Commons by Sreejithk2000 using CommonsHelper .,The original uploader was Caesura at English Wikipedia . - Landor Associates
sony-interactive-entertainment,Sony Interactive Entertainment,Sony Interactive Entertainment logo (2016).svg,https://commons.wikimedia.org/wiki/File:Sony_Interactive_Entertainment_logo_(2016).svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Sony_Interactive_Entertainment_logo_%282016%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://www.sie.com/,Sony Interactive Entertainment
bandai-namco-entertainment,Bandai Namco Entertainment,Bandai Namco logo (2022).svg,https://commons.wikimedia.org/wiki/File:Bandai_Namco_logo_(2022).svg,https://upload.wikimedia.org/wikipedia/commons/5/55/Bandai_Namco_logo_%282022%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://logos.fandom.com/wiki/Bandai_Namco_Entertainment ( archive link ),Bandai Namco Holdings Inc.
square-enix,Square Enix,Square Enix logo.svg,https://commons.wikimedia.org/wiki/File:Square_Enix_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/Square_Enix_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Wiki-en . Erroneously uploaded as fair use. Because Per the United States Copyright Office: ""familiar symbols or designs; mere variations of typographic ornamentation, lettering, or coloring ... typeface as typefaces are not subject to copyright. Square Enix Store Also see Image_casebook Trademarks","User:GaeMFreeK , created by Square Enix"
