slug,company_name,game_count,role_kind,logo_file,logo_type,authentic_logo,confidence,requires_manual_review,selected_qid,selected_entity_label,entity_resolution_method,source_filename,source_page_url,image_source_url,source_license,source_license_url,source_credit,source_artist,official_websites,wikidata_url,wikipedia_es_url,wikipedia_en_url,regionatlas_url,company_inception,company_dissolved,parent_organization_qids,owner_qids,predecessor_qids,successor_qids,mime,width,height,sha256,notes
sega,Sega,2208,both,company-logos/sega.svg,REGIONATLAS_EXISTENTE,TRUE,VERY_HIGH,TRUE,Q122741,Sega,REGIONATLAS_EXISTING_LOGO,SEGA logo JPN.svg,https://commons.wikimedia.org/wiki/File:SEGA_logo_JPN.svg,https://upload.wikimedia.org/wikipedia/commons/c/c7/SEGA_logo_JPN.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work based on: SEGA logo.svg,Sega,https://www.sega.com | https://www.sega.co.jp | http://sega-games.co.jp/ | https://www.sega.co.jp/release/sega-games/index.html | https://www.sega.jp,https://www.wikidata.org/wiki/Q122741,https://es.wikipedia.org/wiki/Sega,https://en.wikipedia.org/wiki/Sega,https://www.regionatlas.games/compania/sega,+1960-06-03T00:00:00Z,,Q29469450,Q1457152 | Q3111140 | Q11242714,,,image/svg+xml,300,100,1ec85aa9aa49046b90112d72c3b3e129ce8f5fda32e55df3e7160c91f0bc6cfa,Same authentic source file is used by multiple distinct Wikidata entities; verify shared group branding.
nintendo,Nintendo,872,both,company-logos/nintendo.svg,REGIONATLAS_EXISTENTE,TRUE,VERY_HIGH,FALSE,Q8093,Nintendo,REGIONATLAS_EXISTING_LOGO,Nintendo.svg,https://commons.wikimedia.org/wiki/File:Nintendo.svg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Nintendo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Transferred from en.wikipedia to Commons by JamesR .,Nintendo,https://www.nintendo.com/countryselector/ | https://www.nintendo.com/jp/index.html | https://www.nintendo.de/ | https://www.nintendo.com/us/regionselector/ | https://www.nintendo.com/region-selector/,https://www.wikidata.org/wiki/Q8093,https://es.wikipedia.org/wiki/Nintendo,https://en.wikipedia.org/wiki/Nintendo,https://www.regionatlas.games/compania/nintendo,+1889-09-23T00:00:00Z | +1947-00-00T00:00:00Z,,,Q505275 | Q11375713 | Q12220298,,,image/svg+xml,600,200,3f7b83436b729cd04de56ffb9961e40acaa905b77ce91e9bacc54a08f64811b8,
electronic-arts,Electronic Arts,675,both,company-logos/electronic-arts.svg,REGIONATLAS_EXISTENTE,TRUE,VERY_HIGH,FALSE,Q173941,Electronic Arts,REGIONATLAS_EXISTING_LOGO,Electronic Arts historical logo 80s.svg,https://commons.wikimedia.org/wiki/File:Electronic_Arts_historical_logo_80s.svg,https://upload.wikimedia.org/wikipedia/commons/2/23/Electronic_Arts_historical_logo_80s.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Electronic Arts,Electronic Arts,https://www.ea.com | https://help.ea.com/,https://www.wikidata.org/wiki/Q173941,https://es.wikipedia.org/wiki/Electronic_Arts,https://en.wikipedia.org/wiki/Electronic_Arts,https://www.regionatlas.games/compania/electronic-arts,+1982-05-28T00:00:00Z | +1982-00-00T00:00:00Z,,,,,,image/svg+xml,760,288,fac53466d82106593f661007b2c1d4f7ec5624ac1cfb74f5d900d49d120fde70,
capcom,Capcom,668,both,company-logos/capcom.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q14428,Capcom,WIKIDATA_SEARCH_EXACT_LABEL,Capcom logo.svg,https://commons.wikimedia.org/wiki/File:Capcom_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Capcom_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work,Nessa los,https://www.capcom.com/ | https://www.capcom.co.jp/ | https://capcom-germany.de/,https://www.wikidata.org/wiki/Q14428,https://es.wikipedia.org/wiki/Capcom,https://en.wikipedia.org/wiki/Capcom,https://www.regionatlas.games/compania/capcom,+1979-05-30T00:00:00Z,,,,,,image/svg+xml,5592,1024,33cc001b6d2f20800fb58cab5bdac9781eec1bf24593881fd27a77455a691eb0,
konami,Konami,647,both,company-logos/konami.svg,REGIONATLAS_EXISTENTE,TRUE,VERY_HIGH,TRUE,Q45700,Konami,REGIONATLAS_EXISTING_LOGO,Konami 4th logo 1.svg,https://commons.wikimedia.org/wiki/File:Konami_4th_logo_1.svg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Konami_4th_logo_1.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Wordmark of KONAMI , Trademarked by KONAMI CORPORATION.",KONAMI CORPORATION,https://www.konami.com/ja/ | https://www.konami.com/en/,https://www.wikidata.org/wiki/Q45700,https://es.wikipedia.org/wiki/Konami,https://en.wikipedia.org/wiki/Konami,https://www.regionatlas.games/compania/konami,+1969-03-21T00:00:00Z,,,,,,image/svg+xml,1921,324,3ac31795c826d17540dfac6e7bfc105029aefe6068fe2d83f408629fa7c42e80,Same authentic source file is used by multiple distinct Wikidata entities; verify shared group branding.
limited-run-games,Limited Run Games,585,publisher,company-logos/limited-run-games.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q28026114,Limited Run Games,WIKIDATA_SEARCH_EXACT_LABEL,Limited Run Games logo black.svg,https://commons.wikimedia.org/wiki/File:Limited_Run_Games_logo_black.svg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Limited_Run_Games_logo_black.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://www.fangamer.com/collections,Limited Run Games,http://limitedrungames.com | https://limitedrungames.com/,https://www.wikidata.org/wiki/Q28026114,https://es.wikipedia.org/wiki/Limited_Run_Games,https://en.wikipedia.org/wiki/Limited_Run_Games,https://www.regionatlas.games/compania/limited-run-games,+2015-01-01T00:00:00Z,,,,,,image/svg+xml,242,216,3256692ee249c2abafe018b6ac3fd1bb9b814ca7a768df48aab1401988af9909,
snk,SNK Corporation,580,both,company-logos/snk.svg,REGIONATLAS_EXISTENTE,TRUE,VERY_HIGH,FALSE,,,REGIONATLAS_EXISTING_LOGO,SNK logo.svg,https://commons.wikimedia.org/wiki/File:SNK_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/fd/SNK_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://www.snk-corp.co.jp/,SNK,,,,,https://www.regionatlas.games/compania/snk,,,,,,,image/svg+xml,400,85,7724968ae1cfc2895cf5e7f426b7e5223ee4434731dd6a080b8c6766d7f5ac9f,
ubisoft,Ubisoft,516,both,company-logos/ubisoft.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,TRUE,Q188273,Ubisoft,WIKIDATA_SEARCH_EXACT_LABEL,Ubisoft logo.svg,https://commons.wikimedia.org/wiki/File:Ubisoft_logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Ubisoft_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://vignette.wikia.nocookie.net/logopedia/images/a/a0/Ubisoft_2017.svg/revision/latest?cb=20170622035823,Ubisoft,https://www.ubisoft.com/,https://www.wikidata.org/wiki/Q188273,https://es.wikipedia.org/wiki/Ubisoft,https://en.wikipedia.org/wiki/Ubisoft,https://www.regionatlas.games/compania/ubisoft,+1986-03-28T00:00:00Z,,,Q860580 | Q64215026 | Q4848455,,,image/svg+xml,1000,915,aa77eba1ffbcc3dea9d6edf773edd2e4ee7893f3f6b3162635fc2e0ec4f84d8b,Same authentic source file is used by multiple distinct Wikidata entities; verify shared group branding.
activision,Activision,479,both,company-logos/activision.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q200491,Activision,WIKIDATA_SEARCH_EXACT_LABEL,Activision.svg,https://commons.wikimedia.org/wiki/File:Activision.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Activision.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Transferred from en.wikipedia to Commons by Sreejithk2000 using CommonsHelper .,The original uploader was Caesura at English Wikipedia . - Landor Associates,https://www.activision.com,https://www.wikidata.org/wiki/Q200491,https://es.wikipedia.org/wiki/Activision,https://en.wikipedia.org/wiki/Activision,https://www.regionatlas.games/compania/activision,+1979-10-01T00:00:00Z,,Q344341,Q344341,,,image/svg+xml,500,125,83a23983847ef8139a21209e93897ab8841b7d4bd60fbc1f7008f3b5984ca9df,
sony-interactive-entertainment,Sony Interactive Entertainment,424,both,company-logos/sony-interactive-entertainment.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q18594,Sony Interactive Entertainment,MANUAL_REVIEWED_OVERRIDE,Sony Interactive Entertainment logo (2016).svg,https://commons.wikimedia.org/wiki/File:Sony_Interactive_Entertainment_logo_(2016).svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Sony_Interactive_Entertainment_logo_%282016%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://www.sie.com/,Sony Interactive Entertainment,https://www.sie.com | https://sonyinteractive.com/jp/ | https://sonyinteractive.com/en/ | https://sonyinteractive.com/,https://www.wikidata.org/wiki/Q18594,https://es.wikipedia.org/wiki/Sony_Interactive_Entertainment,https://en.wikipedia.org/wiki/Sony_Interactive_Entertainment,https://www.regionatlas.games/compania/sony-interactive-entertainment,+1993-11-15T00:00:00Z | +2016-04-01T00:00:00Z,,Q41187 | Q1134268,,,,image/svg+xml,339,123,0914628fb079ae5ac8738cdb1fcf04667b33dd478336b06ea7bcece01ac4c024,exact company entity | Disambiguates the newer duplicate item; Q18594 has the established company history and official website.
