catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,identifier_warning,current_cusa,pricecharting_model_cusa,previous_value,new_company_name,new_company_slug,field_source,reviewed_at,review_batch,publication_status
ps4-8-bit-armies-limited-edition,8-Bit Armies [Limited Edition],PAL España,standard,8 bit armies,8 bit armies,EDITION_VARIANT,DEVELOPER,developer,Petroglyph,petroglyph,Petroglyph,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,2,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE,B_EXACT_PHYSICAL | B_OTHER_PLATFORM,https://www.pricecharting.com/game/pal-playstation-4/8-bit-armies-limited-edition | https://store.steampowered.com/app/427250,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Petroglyph,petroglyph,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-8-bit-armies-limited-edition,8-Bit Armies [Limited Edition],PAL España,standard,8 bit armies,8 bit armies,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Soedesco,soedesco,Soedesco,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/8-bit-armies-limited-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,,,,Soedesco,soedesco,pricecharting,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-age-of-wonders-planetfall-day-one-edition,Age of Wonders: Planetfall [Day One Edition],PAL España,standard,age of wonders planetfall,age of wonders planetfall,EDITION_VARIANT,DEVELOPER,developer,Triumph Studios,triumph-studios,Triumph Studios,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT | PS4_RELEASE,6,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4139-CUSA13236_00-AOWPLANETFALL000 | https://www.pricecharting.com/game/pal-playstation-4/age-of-wonders-planetfall-day-one-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/718850 | https://www.wikidata.org/wiki/Q60676089 | https://gamesdb.launchbox-app.com/games/details/207389,"Developed by Triumph Studios | La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,CUSA13236_00,,Triumph Studios,triumph-studios,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-age-of-wonders-planetfall-day-one-edition,Age of Wonders: Planetfall [Day One Edition],PAL España,standard,age of wonders planetfall,age of wonders planetfall,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Paradox Interactive,paradox-interactive,Paradox Interactive,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/age-of-wonders-planetfall-day-one-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,,CUSA13236_00,,Paradox Interactive,paradox-interactive,pricecharting,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-air-conflicts-pacific-carriers,Air Conflicts Pacific Carriers,PAL España,standard,air conflicts pacific carriers,air conflicts pacific carriers,GAME_OR_UNKNOWN,DEVELOPER,developer,Games Farm,games-farm,Games Farm,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT | PS4_RELEASE,5,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4365-CUSA02866_00-PACIFICCARRIERS0 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/214910 | https://www.wikidata.org/wiki/Q4697825 | https://gamesdb.launchbox-app.com/games/details/421462,"Developed by Games Farm | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Games Farm,games-farm,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-air-conflicts-secret-wars,Air Conflicts Secret Wars,PAL España,standard,air conflicts secret wars,air conflicts secret wars,GAME_OR_UNKNOWN,DEVELOPER,developer,Games Farm,games-farm,Games Farm,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,GAME_WORK | MATCHED_PS4_PRODUCT,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM,https://store.playstation.com/es-es/product/EP2607-CUSA05482_00-ACSECRETWARS0000 | https://store.steampowered.com/app/95900,"Developed by Games Farm | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Games Farm,games-farm,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-alien-isolation-nostromo-edition,Alien Isolation [Nostromo Edition],PAL España,standard,alien isolation,alien isolation,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Sega,sega,Sega,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/alien-isolation-nostromo-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,,,,Sega,sega,pricecharting,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-among-us-crewmate-edition,Among Us [Crewmate Edition],PAL España,standard,among us,among us,GAME_OR_UNKNOWN,DEVELOPER,developer,Innersloth,innersloth,Innersloth,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/among-us-crewmate-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/945360,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Innersloth,innersloth,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-among-us-crewmate-edition,Among Us [Crewmate Edition],PAL España,standard,among us,among us,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Innersloth,innersloth,Innersloth,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/among-us-crewmate-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,,,,Innersloth,innersloth,pricecharting,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-among-us-impostor-edition,Among Us [Impostor Edition],PAL España,standard,among us,among us,GAME_OR_UNKNOWN,DEVELOPER,developer,Innersloth,innersloth,Innersloth,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/among-us-impostor-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/945360,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Innersloth,innersloth,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-andro-dunos-ii-limited-edition,Andro Dunos II [Limited Edition],PAL España,standard,andro dunos ii,andro dunos ii,EDITION_VARIANT,DEVELOPER,developer,Picorinne Soft,picorinne-soft,Picorinne Soft,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/andro-dunos-ii-limited-edition | https://store.steampowered.com/app/1856900 | https://www.wikidata.org/wiki/Q111726411,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Picorinne Soft,picorinne-soft,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-andro-dunos-ii-mvs-edition,Andro Dunos II [MVS Edition],PAL España,standard,andro dunos ii,andro dunos ii,GAME_OR_UNKNOWN,DEVELOPER,developer,Picorinne Soft,picorinne-soft,Picorinne Soft,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/andro-dunos-ii-mvs-edition | https://store.steampowered.com/app/1856900 | https://www.wikidata.org/wiki/Q111726411,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Picorinne Soft,picorinne-soft,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-andro-dunos-ii-pixelheart-edition,Andro Dunos II [PixelHeart Edition],PAL España,standard,andro dunos ii,andro dunos ii,GAME_OR_UNKNOWN,DEVELOPER,developer,Picorinne Soft,picorinne-soft,Picorinne Soft,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/andro-dunos-ii-pixelheart-edition | https://store.steampowered.com/app/1856900 | https://www.wikidata.org/wiki/Q111726411,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Picorinne Soft,picorinne-soft,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
ps4-anima-gate-of-memories-arcane-edition,Anima: Gate Of Memories [Arcane Edition],PAL España,standard,anima gate of memories,anima gate of memories,GAME_OR_UNKNOWN,DEVELOPER,developer,Anima Project,anima-project,Anima Project,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT,4,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP1160-CUSA04501_00-GATE0OF0MEMORIES | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/380750 | https://www.wikidata.org/wiki/Q129978932,"Developed by Anima Project | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,,Anima Project,anima-project,official,2026-09-05,company-credit-ps4-pal-high-additions-1,READY_ADD_MISSING
