catalog_id,title,target_field,role,candidate_slugs,candidate_companies,confidence_levels,group_row_count,conflict_reason,source_urls
ps4-adventures-of-chris,Adventures of Chris,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,graffiti-games | red-art-games,Graffiti Games | Red Art Games,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/adventures-of-chris
ps4-alex-kidd-in-miracle-world-dx,Alex Kidd in Miracle World DX,developer,DEVELOPER,jankenteam | merge-games,Jankenteam | Merge Games,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/202803 | https://store.steampowered.com/app/1333470 | https://www.pricecharting.com/game/pal-playstation-4/alex-kidd-in-miracle-world-dx | https://www.wikidata.org/wiki/Q96743139
ps4-alex-kidd-in-miracle-world-dx-signature-edition,Alex Kidd in Miracle World DX [Signature Edition],developer,DEVELOPER,jankenteam | merge-games,Jankenteam | Merge Games,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/202803 | https://store.steampowered.com/app/1333470 | https://www.pricecharting.com/game/pal-playstation-4/alex-kidd-in-miracle-world-dx-signature-edition | https://www.wikidata.org/wiki/Q96743139
ps4-borderlands-3,Borderlands 3,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,2k-games | take-two-interactive-software,2K Games | Take-Two Interactive Software Europe Ltd,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.pricecharting.com/game/pal-playstation-4/borderlands-3
ps4-bound-by-flame,Bound by Flame,developer,DEVELOPER,spiders | spiders-studios,Spiders | Spiders Studios,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/20621 | https://store.playstation.com/es-es/product/EP4133-CUSA00303_00-BOUNDBYFLAMEGAME | https://store.steampowered.com/app/243930 | https://www.pricecharting.com/game/pal-playstation-4/bound-by-flame
ps4-call-of-cthulhu,Call of Cthulhu,developer,DEVELOPER,cyanide-sa | cyanide-studio,Cyanide SA | Cyanide Studio,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://store.playstation.com/es-es/product/EP4133-CUSA04850_00-CALLOFCTHULHUXXX | https://store.steampowered.com/app/399810 | https://www.pricecharting.com/game/pal-playstation-4/call-of-cthulhu
ps4-call-of-duty-black-ops-6,Call Of Duty: Black Ops 6,developer,DEVELOPER,raven-software | treyarch,Raven Software | Treyarch Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/465983 | https://store.steampowered.com/app/2933620
ps4-call-of-duty-black-ops-7,Call Of Duty: Black Ops 7,developer,DEVELOPER,raven-software | treyarch,Raven Software | Treyarch Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/3606480
ps4-call-of-duty-black-ops-7-steelbook-edition,Call Of Duty: Black Ops 7 [Steelbook Edition],developer,DEVELOPER,raven-software | treyarch,Raven Software | Treyarch Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/3606480
ps4-call-of-duty-black-ops-cold-war,Call of Duty: Black Ops Cold War,developer,DEVELOPER,raven-software | treyarch,Raven Software | Treyarch Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/207984 | https://store.steampowered.com/app/1985810
