catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,identifier_warning,current_cusa,pricecharting_model_cusa,publication_status
ps4-428-shibuya-scramble,428 Shibuya Scramble,PAL España,standard,428 shibuya scramble,428 shibuya scramble,GAME_OR_UNKNOWN,DEVELOPER,developer,Abstraction Games,abstraction-games,Abstraction Games BV | Abstraction Games,EXACT_NAME_OR_ALIAS,Spike Chunsoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT,3,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE,https://store.playstation.com/es-es/product/EP3617-CUSA11946_00-428SHIBUYASCRAEU | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/648580,"Developed by Abstraction Games BV Licensed to and published 2018 by Koch Media GmbH, Austria | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA07962_00,,HIGH_REPLACEMENT_BLOCKED
ps4-a-way-out,A Way Out,PAL España,standard,a way out,a way out,GAME_OR_UNKNOWN,DEVELOPER,developer,Hazelight Studios,hazelight-studios,Hazelight Studios,EXACT_NAME_OR_ALIAS,Hazelight,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1222700 | https://gamesdb.launchbox-app.com/games/details/143587,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA07919_00,,HIGH_REPLACEMENT_BLOCKED
ps4-ary-and-the-secret-of-seasons,Ary and the Secret of Seasons,PAL España,standard,ary and the secret of seasons,ary and the secret of seasons,GAME_OR_UNKNOWN,DEVELOPER,developer,Exiin,exiin,eXiin | Exiin,EXACT_NAME_OR_ALIAS,"eXiin, Fishing Cactus SA",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/ary-and-the-secret-of-seasons | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/935570 | https://gamesdb.launchbox-app.com/games/details/219163,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA13262_00,CUSA13262_00,HIGH_REPLACEMENT_BLOCKED
ps4-assassin%27s-creed-iii-remastered,Assassin's Creed III Remastered,PAL España,standard,assassin s creed iii remastered,assassin s creed iii,EDITION_VARIANT,DEVELOPER,developer,Ubisoft Montreal,ubisoft-montreal,Ubisoft Montreal,EXACT_NAME_OR_ALIAS,"Ubisoft Montreal, Ubisoft Bucharest",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK_OR_PS4_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_PS4_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/assassin%27s-creed-iii-remastered | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA11560_00,CUSA11560_00,HIGH_REPLACEMENT_BLOCKED
ps4-assassin%27s-creed-odyssey-athenian-edition,Assassin's Creed: Odyssey [Athenian Edition],PAL España,standard,assassin s creed odyssey,assassin s creed odyssey,GAME_OR_UNKNOWN,DEVELOPER,developer,Ubisoft Quebec,ubisoft-quebec,Ubisoft Quebec,EXACT_NAME_OR_ALIAS,Ubisoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/812140 | https://gamesdb.launchbox-app.com/games/details/160210,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,HIGH_REPLACEMENT_BLOCKED
ps4-assassin%27s-creed-syndicate,Assassin's Creed Syndicate,PAL España,standard,assassin s creed syndicate,assassin s creed syndicate,GAME_OR_UNKNOWN,DEVELOPER,developer,Ubisoft Quebec,ubisoft-quebec,Ubisoft Quebec,EXACT_NAME_OR_ALIAS,Ubisoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/368500 | https://www.wikidata.org/wiki/Q18602166 | https://gamesdb.launchbox-app.com/games/details/32131,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA02376_00,,HIGH_REPLACEMENT_BLOCKED
ps4-astria-ascending,Astria Ascending,PAL España,standard,astria ascending,astria ascending,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Dear Villagers,dear-villagers,Dear Villagers,EXACT_NAME_OR_ALIAS,"Dear Villagers, Maple Whispering",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/astria-ascending | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA27169_00,,HIGH_REPLACEMENT_BLOCKED
ps4-astroneer,Astroneer,PAL España,standard,astroneer,astroneer,GAME_OR_UNKNOWN,DEVELOPER,developer,System Era Softworks,system-era-softworks,System Era Softworks,EXACT_NAME_OR_ALIAS,System Era,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/361420 | https://www.wikidata.org/wiki/Q28044889 | https://gamesdb.launchbox-app.com/games/details/207402,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA16473_00,,HIGH_REPLACEMENT_BLOCKED
ps4-battlefield-hardline,Battlefield Hardline,PAL España,standard,battlefield hardline,battlefield hardline,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Ea,ea,EA,EXACT_NAME_OR_ALIAS,Electronic Arts,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/battlefield-hardline,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA00633_00,CUSA00633_00,HIGH_REPLACEMENT_BLOCKED
ps4-big-pharma-special-edition,Big Pharma [Special Edition],PAL España,standard,big pharma,big pharma,EDITION_VARIANT,DEVELOPER,developer,Twice Circled,twice-circled,Twice Circled,EXACT_NAME_OR_ALIAS,"Twice Circled, Klabater",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,5,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/big-pharma-special-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/344850 | https://www.wikidata.org/wiki/Q20313306,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA17324_00,CUSA17324_00,HIGH_REPLACEMENT_BLOCKED
