catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,unresolved_reason
ps4-11-11-memories-retold,11-11: Memories Retold,PAL España,standard,11 11 memories retold,11 11 memories retold,GAME_OR_UNKNOWN,DEVELOPER,developer,DigixArt,,DigixArt | Digixart,NOT_IN_COMPANY_INDEX,Digixart Entertainment,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/735580,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-11-11-memories-retold-collector%27s-edition,11-11: Memories Retold [Collector's Edition],PAL España,standard,11 11 memories retold,11 11 memories retold,EDITION_VARIANT,DEVELOPER,developer,DigixArt,,DigixArt | Digixart,NOT_IN_COMPANY_INDEX,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/735580,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-13-sentinels-aegis-rim,13 Sentinels: Aegis Rim,PAL España,standard,13 sentinels aegis rim,13 sentinels aegis rim,GAME_OR_UNKNOWN,DEVELOPER,developer,Vanillaware,,Vanillaware | VanillaWare,AMBIGUOUS_NAME,Vanillaware,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/13-sentinels-aegis-rim | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.wikidata.org/wiki/Q20982904 | https://gamesdb.launchbox-app.com/games/details/173609,La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-2dark-limited-edition,2Dark [Limited Edition],PAL España,standard,2dark,2dark,EDITION_VARIANT,DEVELOPER,developer,Gloomywood,,Gloomywood,NOT_IN_COMPANY_INDEX,Gloomy Wood,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/435100 | https://gamesdb.launchbox-app.com/games/details/207743,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-9-monkeys-of-shaolin,9 Monkeys of Shaolin,PAL España,standard,9 monkeys of shaolin,9 monkeys of shaolin,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Buka Entertainment,,Buka Entertainment,NOT_IN_COMPANY_INDEX,Ravencourt / Buka Entertainment,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/9-monkeys-of-shaolin | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-aces-of-the-luftwaffe-squadron-extended-edition,Aces of the Luftwaffe Squadron: Extended Edition,PAL España,standard,aces of the luftwaffe squadron extended edition,aces of the luftwaffe squadron extended edition,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,THQ Nordic,,THQ Nordic,AMBIGUOUS_NAME,THQ Nordic,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/aces-of-the-luftwaffe-squadron-extended-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-aew-fight-forever,AEW: Fight Forever,PAL España,standard,aew fight forever,aew fight forever,GAME_OR_UNKNOWN,DEVELOPER,developer,Yuke's,,Yuke's | YUKE'S,AMBIGUOUS_NAME,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1913210 | https://www.wikidata.org/wiki/Q111844850 | https://gamesdb.launchbox-app.com/games/details/443948,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-agents-of-mayhem,Agents of Mayhem,PAL España,standard,agents of mayhem,agents of mayhem,GAME_OR_UNKNOWN,DEVELOPER,developer,Volition,volition,Volition,EXACT_NAME_OR_ALIAS,Volition,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST,B_LEGACY_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/agents-of-mayhem | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/142597,El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED
ps4-agents-of-mayhem-day-one-edition,Agents of Mayhem [Day One Edition],PAL España,standard,agents of mayhem,agents of mayhem,EDITION_VARIANT,DEVELOPER,developer,Deep Silver Volition,,Deep Silver Volition,NOT_IN_COMPANY_INDEX,,ADD_MISSING,HIGH,NO,GAME_WORK | MATCHED_PS4_PRODUCT,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM,https://store.playstation.com/es-es/product/EP4062-CUSA03067_00-AGENTSOFMAYHEMDS | https://store.steampowered.com/app/304530,"Developed by Deep Silver Volition | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-agents-of-mayhem-steelbook-edition,Agents of Mayhem [Steelbook Edition],PAL España,standard,agents of mayhem,agents of mayhem,EDITION_VARIANT,DEVELOPER,developer,Deep Silver Volition,,Deep Silver Volition,NOT_IN_COMPANY_INDEX,,ADD_MISSING,HIGH,NO,GAME_WORK | MATCHED_PS4_PRODUCT,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM,https://store.playstation.com/es-es/product/EP4062-CUSA03067_00-AGENTSOFMAYHEMDS | https://store.steampowered.com/app/304530,"Developed by Deep Silver Volition | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
