sourceName,slug,displayName,resolution,existing
110 Industries,110-industries,110 Industries,exact-name-or-alias,True
1C Company,1c-company,1C Company,new-exact-credit-entity,False
1C Entertainment,1c-entertainment,1C Entertainment,exact-name-or-alias,True
1CC Games,1cc-games,1CC Games,new-exact-credit-entity,False
1st Playable Productions,1st-playable-productions,1st Playable Productions,exact-name-or-alias,True
2Awesome Studio,2awesome-studios,2Awesome Studios,explicit-existing,True
2K,2k,2k,exact-name-or-alias,True
2K Games,2k-games,2K Games,exact-name-or-alias,True
34BigThings,34bigthings,34BigThings,new-exact-credit-entity,False
3D Realms,3d-realms,3D Realms,exact-name-or-alias,True
505 Games,505-games,505 Games,explicit-existing,True
A Heartful of Games,aheartfulofgames,aheartfulofgames,exact-name-or-alias,True
AG PROGRAMAS DE COMPUTADORES LTDA ME,ag-programas-de-computadores-ltda-me,AG PROGRAMAS DE COMPUTADORES LTDA ME,new-exact-credit-entity,False
AOne Games,aone-games,AOne Games,exact-name-or-alias,True
AQUASTYLE,aqua-style,Aqua Style,exact-name-or-alias,True
ASTRAGON ENTERTAINMENT GMBH,astragon,Astragon,explicit-existing,True
Abylight Studios,abylight,Abylight,explicit-existing,True
Acquire,acquire,Acquire,exact-name-or-alias,True
Activision,activision,Activision,exact-name-or-alias,True
Activision Publishing,activision-publishing,Activision Publishing,exact-name-or-alias,True
Aerosoft,aerosoft,Aerosoft GmbH,exact-name-or-alias,True
Aksys Games,aksys-games,Aksys Games,exact-name-or-alias,True
Aksys Games Localization Inc.,aksys-games-localization,Aksys Games Localization,explicit-existing,True
Alawar Premium,alawar-premium,Alawar Premium,new-exact-credit-entity,False
Amazon Game Studios,amazon-game-studios,Amazon Game Studios,new-exact-credit-entity,False
Amplitude Studios,amplitude-studios,Amplitude Studios,exact-name-or-alias,True
Anima Project,anima-project,Anima Project,exact-name-or-alias,True
Animatoon Studio,animatoon-studio,Animatoon Studio,new-exact-credit-entity,False
Anshar Studios,anshar-studios,Anshar Studios,new-exact-credit-entity,False
Appeal Studios,appeal-studios,Appeal Studios,new-exact-credit-entity,False
Arzest,arzest,Arzest,exact-name-or-alias,True
Asobo Studio,asobo-studio,Asobo Studio,exact-name-or-alias,True
Astragon Entertainment,astragon,Astragon,explicit-existing,True
Atari,atari,Atari Europe,exact-name-or-alias,True
Atlus,atlus,Atlus Co Ltd.,exact-name-or-alias,True
Avalanche Software,avalanche-software,Avalanche Software,exact-name-or-alias,True
Avalanche Studios,avalanche-studios,Avalanche Studios,exact-name-or-alias,True
BANDAI NAMCO Entertainment,bandai-namco-entertainment,Bandai Namco Entertainment,exact-name-or-alias,True
BAkau,bakau,BAkau,new-exact-credit-entity,False
BUG-Studio,bug-studio,BUG-Studio,new-exact-credit-entity,False
BadLand Games,badland-games,BadLand Games,exact-name-or-alias,True
BadLand Publishing,badland-publishing,BadLand Publishing,exact-name-or-alias,True
Balio Studio,balio-studio,Balio Studio,new-exact-credit-entity,False
Bandai Namco Entertainment,bandai-namco-entertainment,Bandai Namco Entertainment,exact-name-or-alias,True
Bandai Namco Entertainment Europe,bandai-namco-entertainment-europe,Bandai Namco Entertainment Europe,exact-name-or-alias,True
Bandai Namco Studios,bandai-namco-studios,Bandai Namco Studios,exact-name-or-alias,True
Beamdog,beamdog,Beamdog,exact-name-or-alias,True
Beenox,beenox,Beenox,exact-name-or-alias,True
Behaviour Interactive,behaviour-interactive,Behaviour Interactive,exact-name-or-alias,True
Bend Studio,bend-studio,Bend Studio,exact-name-or-alias,True
Benoit Varasse trading as Pix Arts,benoit-varasse-trading-as-pix-arts,Benoit Varasse trading as Pix Arts,new-exact-credit-entity,False
Bethesda Game Studios,bethesda-game-studios,Bethesda Game Studios,exact-name-or-alias,True
Bethesda Softworks,bethesda-softworks,Bethesda Softworks,exact-name-or-alias,True
Big Ant Studios,big-ant-studios,Big Ant Studios,exact-name-or-alias,True
Big Bad Wolf,big-bad-wolf,Big Bad Wolf,exact-name-or-alias,True
Bigben Interactive,bigben-interactive,BigBen Interactive,explicit-existing,True
Binary Haze Interactive,binary-haze-interactive,Binary Haze Interactive,exact-name-or-alias,True
Bitmap Bureau,bitmap-bureau,Bitmap Bureau,exact-name-or-alias,True
Black Forest Games,black-forest-games,Black Forest Games,exact-name-or-alias,True
BlackMill Games,blackmill-games,BlackMill Games,new-exact-credit-entity,False
BlackPixel Studio,blackpixel-studio,BlackPixel Studio,new-exact-credit-entity,False
Blind Squirrel Games,blind-squirrel-games,Blind Squirrel Games,exact-name-or-alias,True
BlitWorks Games,blitworks-games,Blitworks Games,exact-name-or-alias,True
Blizzard Entertainment,blizzard-entertainment,Blizzard Entertainment,exact-name-or-alias,True
Bluepoint Games,bluepoint-games,Bluepoint Games,exact-name-or-alias,True
Breakpoint Studio,breakpoint-studio,Breakpoint Studio,new-exact-credit-entity,False
Bruner House,bruner-house,Bruner House,new-exact-credit-entity,False
Buka Entertainment,buka-entertainment,Buka Entertainment,new-exact-credit-entity,False
Bungie,bungie,Bungie,exact-name-or-alias,True
CARBON GAMES LIMITED,carbon-games-limited,CARBON GAMES LIMITED,new-exact-credit-entity,False
CCP Games,ccp-games,CCP Games,new-exact-credit-entity,False
CD PROJEKT RED,cd-projekt-red,CD Projekt RED,exact-name-or-alias,True
CD Projekt Red,cd-projekt-red,CD Projekt RED,exact-name-or-alias,True
CI Games,ci-games,CI Games,exact-name-or-alias,True
CITY CONNECTION,city-connection,City Connection,exact-name-or-alias,True
CONTACT SALES LTD,contact-sales-ltd,CONTACT SALES LTD,new-exact-credit-entity,False
CUBETYPE,cubetype,CUBETYPE,new-exact-credit-entity,False
Caged Element,caged-element,Caged Element,exact-name-or-alias,True
