catalog_id,catalog_title,role,current_value,candidate_companies,reason,recommended_action,source_1,source_2
ps4-not-for-resale,[Not For Resale],DEVELOPER,,,INCOMPLETE_TITLE,REPAIR_CATALOG_TITLE,,
ps4-not-for-resale,[Not For Resale],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,,INCOMPLETE_TITLE,REPAIR_CATALOG_TITLE,,
ps4-adventure-academia-the-fractured-continent,Adventure Academia: The Fractured Continent,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Acquire | PQube Ltd,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/475320,https://store.playstation.com/es-es/product/EP4293-CUSA34443_00-TOTOQUEST0000000
ps4-air-conflicts-secret-wars,Air Conflicts Secret Wars,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Games Farm | 2TAINMENT GMBH,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/421784,https://store.playstation.com/es-es/product/EP2607-CUSA05482_00-ACSECRETWARS0000
ps4-annapurna-ultimate-collection,Annapurna Ultimate Collection,DEVELOPER,,,MULTI_GAME_COMPILATION,SPLIT_COMPONENT_CREDITS,,
ps4-armored-core-vi-fires-of-rubicon-collector%27s-edition,Armored Core VI: Fires Of Rubicon [Collector's Edition],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Bandai Namco Entertainment | FromSoftware,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/443942,https://store.steampowered.com/app/1888160
ps4-armored-core-vi-fires-of-rubicon-launch-edition,Armored Core VI: Fires Of Rubicon [Launch Edition],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Bandai Namco Entertainment | FromSoftware,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/443942,https://store.steampowered.com/app/1888160
ps4-batman-arkham-vr,Batman Arkham VR,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Warner Bros. Interactive Entertainment | WARNER BROS. INTERACTIVE,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/144620,https://store.playstation.com/es-es/product/EP1018-CUSA05340_00-ARKHAMVRLT000000
ps4-blasphemous-coleccionista,Blasphemous Coleccionista,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Team17 | Selecta Play,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,,
ps4-cars,Cars,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,,INCOMPLETE_OR_AMBIGUOUS_TITLE,VERIFY_COVER_EAN_AND_EXACT_TITLE,,
ps4-classic-racers-elite,Classic Racers Elite,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Vision Reelle | FUNBOX MEDIA LIMITED,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/475537,https://store.playstation.com/es-es/product/EP4358-CUSA27197_00-CLASSICRACERSEU4
ps4-crash-team-racing-&amp;-spyro-reignited-trilogy,Crash Team Racing & Spyro Reignited Trilogy,DEVELOPER,,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-cyberpunk-2077-samurai-pack,Cyberpunk 2077 [Samurai Pack],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,CD Projekt | CD Projekt RED,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/22722,https://store.steampowered.com/app/1091500
ps4-dark-souls-ii-scholar-of-the-first-sin-not-for-resale,Dark Souls II Scholar Of The First Sin [Not For Resale],PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Bandai Namco Entertainment | FromSoftware,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.steampowered.com/app/335300,https://www.wikidata.org/entity/Q22344575
ps4-dark-thrones-&amp;-witch-hunter-double-pack,Dark Thrones & Witch Hunter Double Pack,DEVELOPER,,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-date-a-live-rio-reincarnation,Date A Live: Rio Reincarnation,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Idea Factory International | Reef Entertainment,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/185588,https://store.playstation.com/es-es/product/EP4060-CUSA15766_00-DATEALIVERIOREIN
ps4-daymare-1994-sandcastle,Daymare 1994 Sandcastle,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Leonardo Interactive | INVADER STUDIOS S.R.L.,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP3896-CUSA35770_00-2927604497113261,https://store.steampowered.com/app/1530470
ps4-demon-pit,Demon Pit,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Digerati | Psychic Games Limited,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP8925-CUSA17618_00-DPPS4SIEADIGI001,https://store.steampowered.com/app/548240
ps4-dishonored-pray-arkane-collection,Dishonored & Pray Arkane Collection,DEVELOPER,,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-dishonored-complete-collection,Dishonored Complete Collection,DEVELOPER,Arkane Studios,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-dishonored-prey-the-arkane-collection,Dishonored Prey: The Arkane Collection,DEVELOPER,Arkane Studios,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-doctor-who-duo-bundle,Doctor Who: Duo Bundle,DEVELOPER,,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-dragon-ball-fighterz-&#43;-dragon-ball-xenoverse-2,Dragon Ball Fighterz + Dragon Ball Xenoverse 2,DEVELOPER,,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-dragon-ball-xenoverse-1-&amp;-2-double-pack,Dragon Ball Xenoverse 1 & 2 Double Pack,DEVELOPER,Dimps,,MULTI_GAME_BUNDLE,SPLIT_COMPONENT_CREDITS,,
ps4-ducati-90th-anniversary,Ducati : 90th Anniversary,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Milestone S.r.l. | MILESTONE SRL,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://store.playstation.com/es-es/product/EP4356-CUSA05245_00-DUCATIFULLGAME00,https://store.steampowered.com/app/456780
ps4-dynasty-feud,Dynasty Feud,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Kaia Studios | RELEVO VIDEOGAMES SL,MULTIPLE_STRONG_CANDIDATES,MANUAL_REVIEW,https://gamesdb.launchbox-app.com/games/details/475636,https://store.playstation.com/es-es/product/EP2718-CUSA08917_00-PS40000000000001
